state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
Missouri,,,Adopted,29,2016,5977199,2917209,230699,222530,481642,459250,286432,236674,378208,306882,352206,303865,383059,335290,388634,355753,3059990,212400,204518,461730,438300,277813,239157,397612,338131,370413,324456,399587,359062,419210,386977,678391,60242,58894,123119,117982,76884,61949,95341,71448,83608,71318,87462,76842,79513,70851,4926235,336944,324033,727702,692628,439677,375633,629089,530679,590870,518478,657689,586883,702164,649298,89075,145612,22559,24033,26448,29751,33535,79999,144286,36273,47745,34213,36573,40208,1885398,31.5,1022660,17.1,636183,10.6,678848,55,1190780,25.5
Montana,,,Adopted,30,2016,1027510,516287,39200,38130,79604,75443,50057,41749,61656,50695,61593,53452,62684,55157,75028,68288,511223,35060,33388,73767,70042,48937,44235,61981,55388,56783,50953,63915,56571,77799,71519,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,915185,61594,60204,125545,120771,85314,75357,108866,96442,105940,94776,114250,102581,141765,130894,17609,30847,6371,9130,7102,7822,8953,14931,27889,9811,12741,8266,10131,10706,388177,37.8,209617,20.4,143668,14,134022,61.5,251193,31.5
Nebraska,,,Adopted,31,2016,1877654,931551,79399,75542,161764,153420,94444,80075,125886,103170,115779,98924,113313,102906,117967,107935,946103,78858,73840,152668,146180,92338,81232,122816,105412,114847,100633,112932,102373,121469,113372,86027,9507,9098,17729,16863,10670,7833,14555,10607,10064,7723,9064,7788,8369,7568,1651835,128322,123150,262875,251869,156472,139024,212720,182162,204058,179063,203837,186184,223018,206662,24959,43925,6081,6745,3883,5750,7278,24451,43433,9660,12239,9080,7062,8649,512856,27.3,251931,13.4,168071,9,165490,50.5,339669,22.4
Nevada,,,Adopted,32,2016,2905767,1445871,111068,104092,234387,217869,123991,100120,207985,160051,190801,154995,195397,166401,176246,159427,1459896,106914,101895,224066,206720,122509,103745,206862,177213,192228,159479,191635,166905,184159,165593,253421,23142,20974,44957,42810,24601,21665,41361,34311,33698,29217,32467,30381,26327,24602,1947153,129712,122681,275151,254756,150432,125011,260167,214574,249035,207932,266535,231873,269216,244043,44409,80948,17118,29614,22774,20558,24707,45863,79234,25336,37777,30709,28412,31595,1003725,34.5,618421,21.3,434633,15,368220,59.3,627282,27.6
New Hampshire,,,Adopted,33,2016,1316467,653830,41637,40512,93362,90786,64284,57652,79370,67502,72570,65968,100515,92963,101286,94620,662637,37254,36381,87157,84884,61564,56249,77270,69641,77417,72388,101115,92980,103708,98360,15409,1767,1767,2178,1967,1698,1502,2847,2482,2495,2216,2404,2033,876,670,1232156,69181,67183,165121,161272,115131,104507,143964,125841,137950,127149,189510,174983,198944,187414,14512,26413,7265,8128,7071,8329,8104,12202,23693,7310,13208,9511,8099,10440,411852,31.3,204786,15.6,131901,10,96772,65.9,311548,27.3
New Jersey,,,Adopted,34,2016,8837578,4298033,323670,314697,687327,659587,398125,345552,568727,458686,556004,470614,621715,558421,569520,529001,4539545,307520,297066,661431,638559,378250,341523,571728,500560,580978,516158,662181,605747,617888,581163,1158174,88202,85495,187443,181777,123995,106537,163757,137799,155975,139210,166431,149205,138982,127466,6028899,381964,371420,859632,829465,497249,450190,714495,615578,716034,634180,904347,835075,893567,847025,116377,206054,56259,63714,56031,64442,63949,113913,198160,68362,99076,82302,82413,80049,2747239,31.1,1569154,17.8,1137375,12.9,879904,64.2,1853906,25.1
New Mexico,,,Adopted,35,2016,2046001,1001992,76222,73183,172978,162216,98461,83414,134910,107463,119036,100058,118388,100956,128367,115937,1044009,75582,72549,163816,154565,95796,85835,131668,116509,123385,106274,128245,114855,142492,130547,38111,2337,2337,7255,7127,4902,4328,5974,5259,3906,3377,5446,4941,4250,4144,1514823,106621,102806,234102,222376,136933,122527,185854,160440,171308,150316,184056,164356,215100,198702,47016,92310,31366,37353,29716,25288,27137,49802,91888,37793,49835,36203,29543,27099,985495,48.2,654710,32,528315,25.8,437462,73.6,542609,37.7
New York,,,Adopted,36,2016,19505596,9425360,710433,696182,1419272,1381512,937606,857517,1403419,1194059,1184628,1027565,1295882,1183548,1213114,1147885,10080236,674354,661128,1366727,1330898,947487,890863,1443283,1311697,1251897,1148814,1389053,1306131,1332892,1274108,2999161,228883,224404,469212,456943,322715,295708,452908,396229,377520,339692,417726,383533,366420,341222,12395999,764613,747594,1628395,1587073,1111084,1051642,1689804,1536944,1457646,1339429,1748780,1654113,1783747,1722480,320800,575173,230940,290826,224477,240484,245801,307560,550462,269805,391398,313668,301424,291133,7653948,39.2,4663593,23.9,3767790,19.3,2982535,73.9,4605689,30.3
North Carolina,,,Adopted,37,2016,9957830,4788349,360056,348198,813788,770432,462258,383666,602827,461018,606997,486061,665853,565637,605143,547479,5169481,348811,335990,769828,735631,470034,401874,671060,554448,667869,565702,704778,619122,681875,624451,2130182,159449,155610,369981,357399,233485,194604,290916,227772,272958,228562,289713,249370,263847,236441,6868933,432275,416540,984316,937923,589282,510371,839438,689002,856231,720483,982250,860758,960072,880714,171400,332191,62953,50351,43035,52026,58769,171888,310661,83221,108679,87034,64744,76293,3459343,34.7,1927184,19.4,1363915,13.7,1341808,58.2,2087429,27.7
North Dakota,,,Adopted,38,2016,741486,379672,35627,32608,55276,51504,43058,38944,60043,53700,44860,40401,45018,40936,48082,45501,361814,29966,27940,53261,48454,41023,36641,53085,48719,39863,35896,41621,39724,46803,44757,18907,3121,2350,2568,2153,2791,1849,4217,3532,2349,1288,2636,1231,949,949,646710,51247,48184,88979,83615,72126,66030,94999,87860,74440,69126,76233,72900,88253,84623,8848,10758,2823,4648,3709,3851,3296,7137,10515,4280,6473,3860,2927,3397,193110,26,80225,10.8,55530,7.5,64570,55.6,126774,20.8
Ohio,,,Adopted,39,2016,11439848,5582138,424830,409057,904518,873204,539698,480771,725738,628961,666921,602149,749336,689521,770404,729738,5857710,400976,386929,875673,842254,528166,491849,741091,684861,690118,648814,782159,737054,824675,782943,1397065,122799,119208,258060,250234,153880,136210,193271,166173,168290,151850,173877,158677,169298,159071,9356168,608927,585193,1359428,1308096,824194,756265,1166850,1055820,1104228,1024222,1296491,1212631,1377333,1308927,182256,326123,94469,127292,108559,99530,100922,175657,315187,131226,205253,154689,126498,121257,4304733,37.6,2566725,22.4,1890954,16.5,1708441,72,2557825,28.7
Oklahoma,,,Adopted,40,2016,3845697,1885747,163317,153399,330197,304467,192303,144452,254386,187014,229835,177657,232023,187921,230724,200586,1959950,154263,144537,312073,287358,183991,146163,265156,207927,235693,189560,240692,199660,251873,219463,275256,24485,23431,51842,48862,35110,26153,39302,28243,34730,28267,32951,26714,31035,25772,2792067,200612,192440,411755,388610,243929,200456,368088,291809,338459,277779,358565,301968,385703,345004,77057,136367,19164,16801,16715,12391,17897,79537,128392,26903,34775,25013,18779,23869,1329245,34.6,760454,19.8,520607,13.5,519187,55,799247,28
Oregon,,,Adopted,41,2016,4054353,1997545,145269,142072,297806,286317,183600,165604,283099,244566,263824,234533,253027,231784,260618,243297,2056808,135905,132571,287605,277025,180299,167818,282380,255715,262470,241893,256619,237902,283124,266995,76741,8132,8021,12316,11308,9350,8546,13854,12887,11558,9995,8581,8188,6770,6494,3426423,216960,212490,460593,443769,287001,264002,465773,411278,432590,395284,440371,408049,489888,461543,65280,113186,43380,60801,46927,38303,44403,63147,112081,48253,74204,56268,45362,55171,1613858,39.8,921787,22.7,701859,17.3,577116,70.1,1023707,32.1
Pennsylvania,,,Adopted,42,2016,12579422,6127149,436850,418635,926271,887976,588967,530472,818240,710556,712537,644475,840121,781510,866328,821383,6452273,416289,394538,887291,849178,582872,543068,820298,751667,740674,690514,876471,829881,925922,886797,1350224,117456,114486,234259,229399,158524,140554,200638,172577,158947,142010,174613,159278,155633,145911,10208459,618496,584106,1352847,1290409,890743,824384,1269292,1147198,1157854,1072209,1433618,1356844,1557751,1494529,183383,333165,98032,119466,96782,104108,111685,167471,324961,119396,182527,138437,138812,127612,4580167,36.4,2388218,19,1767558,14.1,1619831,69.4,2925468,29.2
Rhode Island,,,Adopted,44,2016,1040259,502450,33546,32305,72670,71345,55294,50485,70163,60870,59054,52651,69694,65904,69253,67396,537809,32046,31815,70006,68804,57011,53461,69966,65594,61830,59354,75875,73580,77336,75541,66291,4370,4277,12438,11992,8672,6915,10557,9302,9325,8609,8308,7941,6938,6600,837061,45290,44452,103959,102306,82328,78957,105377,97057,94110,88717,122232,118003,130240,127332,14772,25090,9838,11347,9394,11801,11632,13460,24324,9206,17011,15250,16842,14135,388684,37.4,212010,20.4,155701,15,139219,73.7,246768,29.9
South Carolina,,,Not Adopted,45,2016,4861188,2330593,178739,171594,381479,365440,223674,182075,298540,228547,281070,225585,302759,257141,303583,272989,2530595,168845,162880,368322,353768,223319,192429,325002,277956,313398,266072,331947,292718,348213,316472,1299725,97725,95632,229866,223548,141395,112150,178740,146983,160865,135384,162670,139498,166387,147831,3287906,211369,201948,454305,433230,272999,237503,408724,335952,396611,330739,445025,390544,466457,425342,88378,165266,28288,26839,25825,25640,34358,85094,152290,39960,66540,43371,36009,42787,1810635,37.2,992936,20.4,693486,14.3,663773,60.5,1131456,30.5
South Dakota,,,Adopted,46,2016,848774,425393,37978,36659,72065,69081,43102,35064,56103,44595,49516,42343,49235,44086,57776,51817,423381,35850,33989,67088,63707,40504,35460,52009,44186,47269,42729,51461,46708,57944,53486,13487,1560,1515,3155,2951,2147,1810,2488,1889,2137,1723,755,642,1143,628,721186,54719,52925,106213,103499,68903,60577,88031,76987,82848,75619,89268,82844,106315,99331,15235,22729,3797,3241,3196,3258,3458,12564,21552,3941,5503,4729,4606,4033,263070,31,131147,15.5,87963,10.4,92113,55.8,169182,25.2
Tennessee,,,Not Adopted,47,2016,6546914,3172185,248745,241220,523611,502647,302962,256910,418537,328479,393586,321120,428167,368029,405524,369975,3374729,235086,228422,493460,475576,304399,274876,442998,383896,424930,370885,455577,403119,452905,417511,1083541,92145,89889,193744,188978,125448,108607,159460,127578,134651,114391,139284,118141,129738,117468,5107524,342323,332529,736749,707131,443222,392065,650305,545724,637094,544456,707962,623976,703366,648262,120534,212204,50813,48354,46581,43820,54435,116632,203835,72538,99141,80524,59900,67444,2441668,37.3,1425824,21.8,1019300,15.6,954971,63.3,1467598,29.6
Texas,,,Not Adopted,48,2016,27386023,13462702,1224878,1137112,2491401,2230880,1382805,992100,1953045,1380262,1793479,1334325,1682933,1350491,1481087,1269925,13923321,1168279,1081109,2397475,2162110,1338518,990103,1993094,1474757,1865080,1429254,1760201,1432631,1593641,1373562,3243110,288697,274753,590193,550667,363491,280008,496244,371046,440908,357382,415594,358821,353597,312327,20394402,1717832,1586959,3528738,3155815,1969787,1432745,2845060,2056026,2656313,1992568,2572688,2079412,2401965,2074232,574200,953419,115121,105219,98767,103755,123442,540655,925932,163178,187086,141094,135313,161179,7987192,29.2,5042049,18.4,3725983,13.6,3188868,50,4749969,22.8
Utah,,,Adopted,49,2016,3024767,1517087,157086,148962,315379,295833,174295,154609,221905,186019,205329,176968,155417,135916,142432,130951,1507680,147786,139580,298720,280996,168732,152014,220037,195877,199921,175608,153958,137461,147810,135560,31693,4286,4275,8172,7974,2789,2604,5586,4518,3789,3320,2960,2654,3094,2708,2612234,255181,242813,513913,486388,288251,262533,374203,332617,349310,312635,267753,242287,264779,246800,35543,59544,10512,14139,11576,9272,8996,34760,52455,13267,22058,15423,11348,11054,651244,21.5,343482,11.4,232916,7.7,210600,41.7,435382,17.5
Vermont,,,Adopted,50,2016,618622,304849,19732,19465,41339,40590,33853,31753,35438,31457,34566,31922,42342,39314,46783,45333,313773,16715,16404,40565,40034,32113,31293,35740,33642,35167,33770,44231,42554,49229,47441,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,583970,32832,32379,74803,73669,61454,58721,66731,61098,65013,61387,82063,77609,93063,89965,10545,18984,6981,9172,8022,8281,8872,9299,17285,7901,11456,9258,9432,10298,264326,42.7,151701,24.5,118831,19.2,89784,81.9,171582,35
Virginia,,,Adopted,51,2016,8199576,3970742,305695,294553,647504,616212,385851,328079,525920,430048,510128,431647,549512,487746,513792,476584,4228834,295827,281591,615826,583484,387466,340646,567043,494516,543630,477753,592913,537244,557753,513755,1541998,113561,108853,258759,248521,165465,137605,209677,174443,198497,169011,214164,190948,198103,178576,5570822,369364,356591,785187,748850,491266,437150,718768,620852,686533,603037,793099,719849,785985,734707,87357,163294,27400,28240,24118,23349,32292,88782,155538,37661,63125,42087,36557,38478,2251910,27.5,1072479,13.1,688713,8.4,695107,51.9,1538387,22.8
Washington,,,Adopted,53,2016,7184110,3559388,276525,272384,555330,540453,323514,287388,528723,459132,461981,410935,471420,429675,458728,433337,3624722,260080,254786,535369,518245,314868,289418,516649,473580,465933,429228,471782,443169,484050,461732,256411,23305,23211,44513,43950,26431,23879,43282,38951,37652,33509,32790,30218,28341,26435,5441559,361573,355310,743552,726742,439151,403457,755281,684948,679605,627117,739949,696483,789545,755268,109691,218987,62541,85729,63684,56705,62290,110125,204367,77583,110071,81597,71429,75678,2568370,35.8,1461212,20.3,1128894,15.7,818005,67.9,1731522,29.3
West Virginia,,,Adopted,54,2016,1802572,882605,61236,60177,128792,125737,83346,74681,102879,87644,107849,96873,119176,106317,126526,118878,919967,59236,58027,126526,124066,77152,72908,106834,99906,109905,101624,120869,113664,136908,131381,63787,5117,5117,9539,9304,9073,7994,9171,7376,6962,6400,7167,6775,7864,7290,1683372,107396,105333,231921,226700,145041,133794,193516,174115,205666,187421,227027,207741,250772,238383,32224,64958,21062,28056,24882,26905,23788,33541,59930,26794,40951,30679,32300,32703,871749,48.4,506074,28.1,390409,21.7,367985,78.5,495250,37.8
Wisconsin,,,Not Adopted,55,2016,5706681,2823539,205777,198103,450013,434867,278099,249270,360329,317018,341542,306766,382933,357722,395155,378584,2883142,197182,190024,430567,415137,273872,253561,355992,329051,334789,314487,391708,372084,408099,391707,346353,31737,31499,75582,74149,42355,36218,52177,43723,41068,36142,40982,38629,35332,33129,4891563,306339,293976,691424,667648,450082,418457,587362,538804,574369,535348,691218,654413,737813,710207,76705,138219,32025,44993,36134,39479,46757,77343,134608,47550,71664,55792,49628,50503,1883250,33,969361,17,688851,12.1,645213,65.1,1220585,26.3
Wyoming,,,Not Adopted,56,2016,576027,291957,24136,22457,47758,44281,27205,22428,39661,30408,35910,30919,35824,28698,41002,36304,284070,21648,19341,46922,42057,25305,21302,38648,32532,34963,31132,32334,27191,39576,35842,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,531354,41017,37866,82479,75879,48489,40608,71444,58371,66407,58535,62813,51624,76405,68721,6023,13039,1260,2111,2967,1814,3260,5021,10818,2562,4174,3162,2246,2436,157132,27.3,69843,12.1,43802,7.6,45019,46.2,110206,23.4
Puerto Rico,,,,72,2016,3384148,1606058,102793,100825,255634,247197,169935,155877,195850,158596,203576,175885,203745,184192,196354,181225,1778090,92402,90994,244791,236999,169713,159644,210209,193435,230637,217307,234998,219380,234038,219750,392218,18989,18486,52606,50507,41629,38969,46218,39056,52904,45756,55421,50378,52082,48099,2262080,131485,129327,323008,313136,223456,206786,267182,233072,280280,257415,288504,267761,291839,273877,74437,150190,80609,90068,81343,83825,81689,63543,145495,91686,119813,104496,100683,100574,2083627,61.6,1521705,45,1239575,36.6,1533406,61,546293,30.3
Alabama,,,Not Adopted,1,2017,4793512,2300832,176424,171843,420448,405826,226085,175561,256087,198994,277336,227950,299187,261204,304159,278272,2492680,167763,163320,404854,392451,230344,191702,282462,239841,301709,261177,323118,285209,340620,311405,1274268,102052,99991,244372,235285,148518,112196,154900,124148,159818,137347,153663,132844,160665,145307,3267947,212275,206841,516369,502351,278669,233196,355088,295133,383772,328657,441857,392938,464604,427239,90483,181707,19998,26142,24785,30902,40294,86797,170937,34258,49340,40013,31864,47341,1812115,37.8,971615,20.3,201001,20.5,982608,66.7,529924,28.1
Alaska,,,Adopted,2,2017,716178,366114,31547,29333,68413,62463,33050,25044,51570,37785,46738,37468,45308,35716,48526,42346,350064,32900,29172,61523,54693,32603,25939,48438,40956,46398,39205,42337,36822,45315,40910,19201,1512,1433,2619,2363,2995,2339,2951,2184,2904,2786,1977,1634,2575,2459,459917,34025,32472,69554,65258,37437,31526,64859,54569,60512,51045,62220,54668,69786,64486,13675,26858,5258,9164,6867,4659,6108,13823,22135,7678,11895,7863,6414,7873,248267,34.7,86745,12.1,10470,22.7,162609,66,76491,31.6
Arizona,,,Adopted,4,2017,6908121,3397227,262085,244798,618452,568536,333965,274359,417137,337797,412301,343011,407134,350842,398325,355370,3510894,251768,236005,597135,546957,324755,275901,403384,353838,422700,367671,428500,378359,441458,400436,294922,27119,25793,57097,52653,33113,29137,44604,40417,39329,33816,35170,31376,31253,29211,5373114,361615,340619,871434,806372,473717,401274,604280,513893,629358,542738,658197,580488,705448,640307,117048,224228,55319,74011,64858,59157,62972,116061,217697,80474,103055,84208,73096,78878,2705371,39.2,1292196,18.7,140589,22.5,1554419,72.7,675034,35.1
